,predicted_price,current_price,price_delta,pct_change,action
0,99.0,99.0,0.0,0.0,hold
1,108.93,109.0,-0.07,-0.06,decrease
2,118.93,119.0,-0.07,-0.06,decrease
3,129.07,129.0,0.07,0.05,increase
4,138.93,139.0,-0.07,-0.05,decrease
5,148.87,149.0,-0.13,-0.09,decrease
6,158.93,159.0,-0.07,-0.04,decrease
7,169.0,169.0,0.0,0.0,hold
8,178.93,179.0,-0.07,-0.04,decrease
9,189.47,189.0,0.47,0.25,increase
10,199.0,199.0,0.0,0.0,hold
11,208.6,209.0,-0.4,-0.19,decrease
12,219.0,219.0,0.0,0.0,hold
13,229.0,229.0,0.0,0.0,hold
14,238.87,239.0,-0.13,-0.06,decrease
15,248.93,249.0,-0.07,-0.03,decrease
16,258.93,259.0,-0.07,-0.03,decrease
17,269.0,269.0,0.0,0.0,hold
18,279.07,279.0,0.07,0.02,increase
19,289.0,289.0,0.0,0.0,hold
20,299.0,299.0,0.0,0.0,hold
21,308.93,309.0,-0.07,-0.02,decrease
22,319.07,319.0,0.07,0.02,increase
23,328.93,329.0,-0.07,-0.02,decrease
24,339.2,339.0,0.2,0.06,increase
25,349.0,349.0,0.0,0.0,hold
26,359.07,359.0,0.07,0.02,increase
27,369.0,369.0,0.0,0.0,hold
28,379.0,379.0,0.0,0.0,hold
29,389.0,389.0,0.0,0.0,hold
30,399.0,399.0,0.0,0.0,hold
31,408.87,409.0,-0.13,-0.03,decrease
32,419.07,419.0,0.07,0.02,increase
33,428.93,429.0,-0.07,-0.02,decrease
34,438.93,439.0,-0.07,-0.02,decrease
35,449.07,449.0,0.07,0.01,increase
36,458.87,459.0,-0.13,-0.03,decrease
37,469.0,469.0,0.0,0.0,hold
38,479.0,479.0,0.0,0.0,hold
39,489.0,489.0,0.0,0.0,hold
40,499.07,499.0,0.07,0.01,increase
41,509.0,509.0,0.0,0.0,hold
42,519.0,519.0,0.0,0.0,hold
43,529.07,529.0,0.07,0.01,increase
44,538.93,539.0,-0.07,-0.01,decrease
45,548.93,549.0,-0.07,-0.01,decrease
46,558.87,559.0,-0.13,-0.02,decrease
47,568.93,569.0,-0.07,-0.01,decrease
48,578.87,579.0,-0.13,-0.02,decrease
49,589.0,589.0,0.0,0.0,hold
50,99.0,99.0,0.0,0.0,hold
51,109.0,109.0,0.0,0.0,hold
52,119.0,119.0,0.0,0.0,hold
53,129.07,129.0,0.07,0.05,increase
54,139.07,139.0,0.07,0.05,increase
55,148.8,149.0,-0.2,-0.13,decrease
56,159.07,159.0,0.07,0.04,increase
57,169.0,169.0,0.0,0.0,hold
58,179.07,179.0,0.07,0.04,increase
59,189.0,189.0,0.0,0.0,hold
60,199.0,199.0,0.0,0.0,hold
61,208.8,209.0,-0.2,-0.1,decrease
62,219.27,219.0,0.27,0.12,increase
63,229.13,229.0,0.13,0.06,increase
64,239.07,239.0,0.07,0.03,increase
65,249.13,249.0,0.13,0.05,increase
66,259.07,259.0,0.07,0.03,increase
67,269.0,269.0,0.0,0.0,hold
68,279.13,279.0,0.13,0.05,increase
69,289.0,289.0,0.0,0.0,hold
70,299.07,299.0,0.07,0.02,increase
71,309.0,309.0,0.0,0.0,hold
72,319.33,319.0,0.33,0.1,increase
73,329.0,329.0,0.0,0.0,hold
74,339.13,339.0,0.13,0.04,increase
75,349.27,349.0,0.27,0.08,increase
76,359.07,359.0,0.07,0.02,increase
77,369.47,369.0,0.47,0.13,increase
78,379.07,379.0,0.07,0.02,increase
79,389.0,389.0,0.0,0.0,hold
80,399.33,399.0,0.33,0.08,increase
81,409.0,409.0,0.0,0.0,hold
82,419.33,419.0,0.33,0.08,increase
83,429.0,429.0,0.0,0.0,hold
84,439.07,439.0,0.07,0.02,increase
85,449.0,449.0,0.0,0.0,hold
86,459.0,459.0,0.0,0.0,hold
87,469.0,469.0,0.0,0.0,hold
88,479.07,479.0,0.07,0.01,increase
89,489.0,489.0,0.0,0.0,hold
90,498.87,499.0,-0.13,-0.03,decrease
91,509.13,509.0,0.13,0.03,increase
92,519.07,519.0,0.07,0.01,increase
93,529.13,529.0,0.13,0.03,increase
94,539.67,539.0,0.67,0.12,increase
95,549.07,549.0,0.07,0.01,increase
96,558.87,559.0,-0.13,-0.02,decrease
97,569.13,569.0,0.13,0.02,increase
98,579.0,579.0,0.0,0.0,hold
99,589.0,589.0,0.0,0.0,hold
100,99.0,99.0,0.0,0.0,hold
101,108.93,109.0,-0.07,-0.06,decrease
102,118.93,119.0,-0.07,-0.06,decrease
103,129.07,129.0,0.07,0.05,increase
104,139.07,139.0,0.07,0.05,increase
105,148.93,149.0,-0.07,-0.04,decrease
106,159.0,159.0,0.0,0.0,hold
107,169.0,169.0,0.0,0.0,hold
108,179.0,179.0,0.0,0.0,hold
109,189.53,189.0,0.53,0.28,increase
110,199.07,199.0,0.07,0.03,increase
111,208.67,209.0,-0.33,-0.16,decrease
112,218.87,219.0,-0.13,-0.06,decrease
113,229.0,229.0,0.0,0.0,hold
114,238.93,239.0,-0.07,-0.03,decrease
115,249.0,249.0,0.0,0.0,hold
116,258.87,259.0,-0.13,-0.05,decrease
117,268.93,269.0,-0.07,-0.02,decrease
118,279.0,279.0,0.0,0.0,hold
119,289.0,289.0,0.0,0.0,hold
120,298.93,299.0,-0.07,-0.02,decrease
121,308.73,309.0,-0.27,-0.09,decrease
122,319.0,319.0,0.0,0.0,hold
123,328.73,329.0,-0.27,-0.08,decrease
124,339.07,339.0,0.07,0.02,increase
125,348.93,349.0,-0.07,-0.02,decrease
126,358.93,359.0,-0.07,-0.02,decrease
